Team,Map,Wins,Played,Winrate
100 Thieves,Abyss,1,2,50.0
2Game Esports,Abyss,0,1,0.0
All Gamers,Abyss,3,6,50.0
Apeks,Abyss,0,1,0.0
BBL Esports,Abyss,5,6,83.33
Bilibili Gaming,Abyss,5,8,62.5
Cloud9,Abyss,1,4,25.0
DRX,Abyss,11,11,100.0
DetonatioN FocusMe,Abyss,4,5,80.0
Dragon Ranger Gaming,Abyss,2,7,28.57
EDward Gaming,Abyss,6,9,66.67
ENVY,Abyss,0,3,0.0
Evil Geniuses,Abyss,3,5,60.0
FNATIC,Abyss,7,13,53.85
FULL SENSE,Abyss,0,1,0.0
FURIA,Abyss,3,5,60.0
FUT Esports,Abyss,1,4,25.0
FunPlus Phoenix,Abyss,0,3,0.0
G2 Esports,Abyss,8,12,66.67
GIANTX,Abyss,2,3,66.67
Gen.G,Abyss,2,5,40.0
Gentle Mates,Abyss,3,6,50.0
Global Esports,Abyss,3,6,50.0
JDG Esports,Abyss,3,5,60.0
KOI,Abyss,0,1,0.0
KRÜ Esports,Abyss,3,6,50.0
Karmine Corp,Abyss,2,4,50.0
LEVIATÁN,Abyss,2,3,66.67
LOUD,Abyss,0,2,0.0
MIBR,Abyss,5,11,45.45
NRG,Abyss,8,12,66.67
Natus Vincere,Abyss,1,2,50.0
Nongshim RedForce,Abyss,2,4,50.0
Nova Esports,Abyss,2,3,66.67
PCIFIC Esports,Abyss,1,3,33.33
Paper Rex,Abyss,0,2,0.0
Precise Defeat,Abyss,1,1,100.0
Pure Aim,Abyss,0,1,0.0
Rex Regum Qeon,Abyss,2,6,33.33
Sentinels,Abyss,4,7,57.14
T1,Abyss,1,3,33.33
TALON,Abyss,1,1,100.0
TYLOO,Abyss,1,3,33.33
Team Heretics,Abyss,3,13,23.08
Team Liquid,Abyss,8,12,66.67
Team Secret,Abyss,1,2,50.0
Team Vitality,Abyss,3,6,50.0
Titan Esports Club,Abyss,2,4,50.0
Trace Esports,Abyss,2,8,25.0
ULF Esports,Abyss,1,1,100.0
VARREL,Abyss,0,1,0.0
Wolves Esports,Abyss,2,5,40.0
Xi Lai Gaming,Abyss,2,8,25.0
ZETA DIVISION,Abyss,1,2,50.0
100 Thieves,Ascent,2,6,33.33
2Game Esports,Ascent,2,5,40.0
Acend,Ascent,4,5,80.0
All Gamers,Ascent,0,2,0.0
Apeks,Ascent,1,5,20.0
BBL Esports,Ascent,5,9,55.56
BOOM Esports,Ascent,3,7,42.86
Bilibili Gaming,Ascent,5,8,62.5
Cloud9,Ascent,2,5,40.0
Crazy Raccoon,Ascent,0,2,0.0
DRX,Ascent,16,19,84.21
DetonatioN FocusMe,Ascent,1,4,25.0
Dragon Ranger Gaming,Ascent,5,8,62.5
EDward Gaming,Ascent,5,10,50.0
ENVY,Ascent,3,4,75.0
Evil Geniuses,Ascent,6,8,75.0
F4Q,Ascent,0,2,0.0
FNATIC,Ascent,10,22,45.45
FURIA,Ascent,1,9,11.11
FUT Esports,Ascent,1,5,20.0
FunPlus Phoenix,Ascent,7,12,58.33
G2 Esports,Ascent,13,16,81.25
GIANTX,Ascent,7,10,70.0
Gambit Esports,Ascent,2,5,40.0
Gen.G,Ascent,5,9,55.56
Gentle Mates,Ascent,1,3,33.33
Giants Gaming,Ascent,0,1,0.0
Global Esports,Ascent,0,1,0.0
Guild Esports,Ascent,0,2,0.0
JDG Esports,Ascent,1,2,50.0
KOI,Ascent,1,3,33.33
KRÜ Esports,Ascent,6,14,42.86
Karmine Corp,Ascent,0,2,0.0
LEVIATÁN,Ascent,7,12,58.33
LOUD,Ascent,12,17,70.59
Liberty,Ascent,0,1,0.0
MIBR,Ascent,0,5,0.0
NORTHEPTION,Ascent,0,2,0.0
NRG,Ascent,2,6,33.33
NUTURN,Ascent,3,3,100.0
Natus Vincere,Ascent,3,6,50.0
Ninjas In Pyjamas,Ascent,1,1,100.0
Nongshim RedForce,Ascent,3,6,50.0
Nova Esports,Ascent,1,4,25.0
OpTic Gaming,Ascent,3,11,27.27
Papara SuperMassive,Ascent,1,2,50.0
Paper Rex,Ascent,10,18,55.56
Rex Regum Qeon,Ascent,5,13,38.46
Sentinels,Ascent,3,7,42.86
Sharks Esports,Ascent,0,1,0.0
T1,Ascent,2,4,50.0
TALON,Ascent,1,3,33.33
TYLOO,Ascent,1,3,33.33
Team Heretics,Ascent,5,9,55.56
Team International,Ascent,0,1,0.0
Team Liquid,Ascent,13,19,68.42
Team Secret,Ascent,2,4,50.0
Team Thailand,Ascent,1,1,100.0
Team Vikings,Ascent,1,2,50.0
Team Vitality,Ascent,2,4,50.0
Titan Esports Club,Ascent,1,2,50.0
Trace Esports,Ascent,3,5,60.0
Version1,Ascent,2,4,50.0
Vision Strikers,Ascent,0,1,0.0
Wolves Esports,Ascent,3,6,50.0
X10 Esports,Ascent,1,3,33.33
XERXIA Esports,Ascent,2,4,50.0
XSET,Ascent,1,3,33.33
Xi Lai Gaming,Ascent,3,5,60.0
ZETA DIVISION,Ascent,1,5,20.0
100 Thieves,Bind,8,14,57.14
2Game Esports,Bind,0,1,0.0
Acend,Bind,5,5,100.0
All Gamers,Bind,4,7,57.14
Apeks,Bind,0,1,0.0
BBL Esports,Bind,1,4,25.0
BOOM Esports,Bind,2,5,40.0
Bilibili Gaming,Bind,6,11,54.55
Cloud9,Bind,3,5,60.0
Crazy Raccoon,Bind,0,1,0.0
DRX,Bind,12,20,60.0
DetonatioN FocusMe,Bind,1,1,100.0
Dragon Ranger Gaming,Bind,2,4,50.0
EDward Gaming,Bind,11,20,55.0
ENVY,Bind,2,4,50.0
Evil Geniuses,Bind,3,7,42.86
F4Q,Bind,1,2,50.0
FNATIC,Bind,16,25,64.0
FULL SENSE,Bind,0,1,0.0
FURIA,Bind,0,3,0.0
FUT Esports,Bind,3,9,33.33
FunPlus Phoenix,Bind,8,15,53.33
G2 Esports,Bind,10,15,66.67
GIANTX,Bind,3,11,27.27
Gambit Esports,Bind,5,6,83.33
Gen.G,Bind,1,5,20.0
Gentle Mates,Bind,5,7,71.43
Giants Gaming,Bind,0,1,0.0
Global Esports,Bind,0,3,0.0
Guild Esports,Bind,0,2,0.0
JDG Esports,Bind,1,4,25.0
KOI,Bind,0,2,0.0
KRÜ Esports,Bind,7,14,50.0
Karmine Corp,Bind,4,6,66.67
Keyd Stars,Bind,0,2,0.0
LEVIATÁN,Bind,5,10,50.0
LOUD,Bind,4,12,33.33
MIBR,Bind,4,8,50.0
NORTHEPTION,Bind,1,2,50.0
NRG,Bind,4,11,36.36
NUTURN,Bind,1,3,33.33
Natus Vincere,Bind,4,10,40.0
Nongshim RedForce,Bind,5,7,71.43
Nova Esports,Bind,2,4,50.0
OpTic Gaming,Bind,11,12,91.67
PCIFIC Esports,Bind,1,1,100.0
Papara SuperMassive,Bind,0,2,0.0
Paper Rex,Bind,12,22,54.55
Rex Regum Qeon,Bind,1,6,16.67
Sentinels,Bind,5,9,55.56
Sharks Esports,Bind,0,2,0.0
T1,Bind,11,16,68.75
TALON,Bind,5,10,50.0
TYLOO,Bind,2,5,40.0
Team Heretics,Bind,7,10,70.0
Team Liquid,Bind,14,25,56.0
Team Secret,Bind,2,4,50.0
Team Vikings,Bind,1,1,100.0
Team Vitality,Bind,4,12,33.33
Titan Esports Club,Bind,1,3,33.33
Trace Esports,Bind,5,10,50.0
ULF Esports,Bind,0,1,0.0
VARREL,Bind,0,1,0.0
Vision Strikers,Bind,0,1,0.0
Wolves Esports,Bind,2,5,40.0
XERXIA Esports,Bind,0,2,0.0
XSET,Bind,0,2,0.0
Xi Lai Gaming,Bind,5,8,62.5
ZETA DIVISION,Bind,1,8,12.5
100 Thieves,Breeze,1,3,33.33
Acend,Breeze,2,4,50.0
BBL Esports,Breeze,2,4,50.0
BOOM Esports,Breeze,1,1,100.0
Bilibili Gaming,Breeze,3,3,100.0
Cloud9,Breeze,3,5,60.0
DRX,Breeze,6,10,60.0
DetonatioN FocusMe,Breeze,0,1,0.0
Dragon Ranger Gaming,Breeze,1,1,100.0
EDward Gaming,Breeze,0,2,0.0
ENVY,Breeze,3,3,100.0
F4Q,Breeze,0,2,0.0
FNATIC,Breeze,1,3,33.33
FULL SENSE,Breeze,0,3,0.0
FURIA,Breeze,4,7,57.14
FunPlus Phoenix,Breeze,1,5,20.0
G2 Esports,Breeze,3,6,50.0
GIANTX,Breeze,0,2,0.0
Gambit Esports,Breeze,5,5,100.0
Gen.G,Breeze,3,3,100.0
Global Esports,Breeze,2,4,50.0
Guild Esports,Breeze,1,1,100.0
JDG Esports,Breeze,0,1,0.0
KRÜ Esports,Breeze,0,3,0.0
Karmine Corp,Breeze,0,1,0.0
Keyd Stars,Breeze,1,2,50.0
LEVIATÁN,Breeze,0,2,0.0
LOUD,Breeze,5,6,83.33
MIBR,Breeze,2,3,66.67
NRG,Breeze,2,4,50.0
Natus Vincere,Breeze,1,2,50.0
Ninjas In Pyjamas,Breeze,0,1,0.0
Nongshim RedForce,Breeze,1,1,100.0
OpTic Gaming,Breeze,3,7,42.86
PCIFIC Esports,Breeze,0,1,0.0
Papara SuperMassive,Breeze,1,1,100.0
Paper Rex,Breeze,6,10,60.0
Rex Regum Qeon,Breeze,0,3,0.0
Sentinels,Breeze,2,5,40.0
T1,Breeze,2,5,40.0
TYLOO,Breeze,1,1,100.0
Team Heretics,Breeze,1,1,100.0
Team Liquid,Breeze,8,10,80.0
Team Secret,Breeze,0,2,0.0
Team Vitality,Breeze,3,4,75.0
Titan Esports Club,Breeze,1,2,50.0
Trace Esports,Breeze,0,1,0.0
ULF Esports,Breeze,0,2,0.0
VARREL,Breeze,0,1,0.0
Vision Strikers,Breeze,1,2,50.0
Wolves Esports,Breeze,0,2,0.0
X10 Esports,Breeze,0,2,0.0
XSET,Breeze,1,1,100.0
Xi Lai Gaming,Breeze,1,2,50.0
ZETA DIVISION,Breeze,0,1,0.0
100 Thieves,Corrode,4,5,80.0
2Game Esports,Corrode,0,1,0.0
All Gamers,Corrode,3,5,60.0
Apeks,Corrode,1,2,50.0
BBL Esports,Corrode,1,3,33.33
BOOM Esports,Corrode,0,3,0.0
Bilibili Gaming,Corrode,1,2,50.0
Cloud9,Corrode,1,4,25.0
DRX,Corrode,4,9,44.44
DetonatioN FocusMe,Corrode,1,3,33.33
Dragon Ranger Gaming,Corrode,4,7,57.14
EDward Gaming,Corrode,7,9,77.78
ENVY,Corrode,1,3,33.33
Evil Geniuses,Corrode,3,6,50.0
FNATIC,Corrode,5,8,62.5
FULL SENSE,Corrode,1,2,50.0
FURIA,Corrode,1,3,33.33
FUT Esports,Corrode,1,1,100.0
FunPlus Phoenix,Corrode,1,1,100.0
G2 Esports,Corrode,5,13,38.46
GIANTX,Corrode,2,4,50.0
Gen.G,Corrode,2,3,66.67
Gentle Mates,Corrode,1,6,16.67
Global Esports,Corrode,2,5,40.0
Glory Once Again,Corrode,0,1,0.0
JDG Esports,Corrode,1,6,16.67
KOI,Corrode,1,1,100.0
KRÜ Esports,Corrode,0,2,0.0
Karmine Corp,Corrode,0,3,0.0
LEVIATÁN,Corrode,1,2,50.0
LOUD,Corrode,0,1,0.0
MIBR,Corrode,6,8,75.0
NRG,Corrode,9,11,81.82
Natus Vincere,Corrode,2,4,50.0
Nongshim RedForce,Corrode,6,8,75.0
Nova Esports,Corrode,1,3,33.33
Paper Rex,Corrode,4,9,44.44
Rex Regum Qeon,Corrode,6,9,66.67
Sentinels,Corrode,4,7,57.14
T1,Corrode,2,5,40.0
TALON,Corrode,3,4,75.0
TYLOO,Corrode,4,7,57.14
Team Alpha,Corrode,1,1,100.0
Team EMEA,Corrode,1,1,100.0
Team France,Corrode,0,1,0.0
Team Heretics,Corrode,3,4,75.0
Team Liquid,Corrode,2,8,25.0
Team Omega,Corrode,0,1,0.0
Team Secret,Corrode,0,2,0.0
Team Vitality,Corrode,4,4,100.0
Team World,Corrode,1,1,100.0
Titan Esports Club,Corrode,1,3,33.33
Trace Esports,Corrode,1,2,50.0
ULF Esports,Corrode,0,1,0.0
VARREL,Corrode,1,1,100.0
Wolves Esports,Corrode,0,3,0.0
Xi Lai Gaming,Corrode,0,1,0.0
ZETA DIVISION,Corrode,1,3,33.33
100 Thieves,Fracture,2,4,50.0
Acend,Fracture,0,1,0.0
All Gamers,Fracture,1,3,33.33
BBL Esports,Fracture,2,5,40.0
BOOM Esports,Fracture,2,6,33.33
Bilibili Gaming,Fracture,4,6,66.67
Cloud9,Fracture,2,4,50.0
DRX,Fracture,11,14,78.57
DetonatioN FocusMe,Fracture,0,2,0.0
Dragon Ranger Gaming,Fracture,2,4,50.0
EDward Gaming,Fracture,8,10,80.0
Evil Geniuses,Fracture,3,4,75.0
FNATIC,Fracture,10,16,62.5
FURIA,Fracture,1,3,33.33
FUT Esports,Fracture,4,4,100.0
FunPlus Phoenix,Fracture,7,9,77.78
G2 Esports,Fracture,2,4,50.0
GIANTX,Fracture,2,3,66.67
Gambit Esports,Fracture,2,2,100.0
Gen.G,Fracture,1,3,33.33
Gentle Mates,Fracture,0,4,0.0
Giants Gaming,Fracture,0,1,0.0
Guild Esports,Fracture,1,2,50.0
JDG Esports,Fracture,1,3,33.33
KOI,Fracture,2,2,100.0
KRÜ Esports,Fracture,1,7,14.29
Karmine Corp,Fracture,0,2,0.0
LEVIATÁN,Fracture,1,4,25.0
LOUD,Fracture,3,6,50.0
NORTHEPTION,Fracture,0,1,0.0
NRG,Fracture,2,5,40.0
Natus Vincere,Fracture,2,5,40.0
Ninjas In Pyjamas,Fracture,0,1,0.0
Nongshim RedForce,Fracture,0,3,0.0
Nova Esports,Fracture,2,5,40.0
OpTic Gaming,Fracture,7,11,63.64
Paper Rex,Fracture,8,11,72.73
Rex Regum Qeon,Fracture,2,4,50.0
Sentinels,Fracture,1,2,50.0
T1,Fracture,5,11,45.45
TALON,Fracture,2,4,50.0
TYLOO,Fracture,2,4,50.0
Team Heretics,Fracture,1,4,25.0
Team Liquid,Fracture,5,11,45.45
Team Secret,Fracture,0,1,0.0
Team Vitality,Fracture,2,3,66.67
The Guard,Fracture,0,1,0.0
Titan Esports Club,Fracture,3,7,42.86
Trace Esports,Fracture,0,3,0.0
Vision Strikers,Fracture,0,1,0.0
