Team,Map,Wins,Played,Winrate
Wolves Esports,Fracture,1,4,25.0
X10 Esports,Fracture,0,1,0.0
XERXIA Esports,Fracture,0,2,0.0
XSET,Fracture,2,3,66.67
Xi Lai Gaming,Fracture,4,5,80.0
ZETA DIVISION,Fracture,4,9,44.44
100 Thieves,Haven,7,13,53.85
2Game Esports,Haven,0,5,0.0
Acend,Haven,0,2,0.0
All Gamers,Haven,1,3,33.33
Apeks,Haven,0,4,0.0
BBL Esports,Haven,6,12,50.0
BOOM Esports,Haven,3,4,75.0
Bilibili Gaming,Haven,5,18,27.78
Cloud9,Haven,6,9,66.67
Crazy Raccoon,Haven,1,4,25.0
DRX,Haven,11,23,47.83
DetonatioN FocusMe,Haven,2,7,28.57
Dragon Ranger Gaming,Haven,5,10,50.0
EDward Gaming,Haven,11,22,50.0
ENVY,Haven,2,4,50.0
Evil Geniuses,Haven,2,7,28.57
F4Q,Haven,0,2,0.0
FNATIC,Haven,20,33,60.61
FULL SENSE,Haven,0,2,0.0
FURIA,Haven,3,10,30.0
FUT Esports,Haven,3,8,37.5
FunPlus Phoenix,Haven,6,15,40.0
G2 Esports,Haven,18,24,75.0
GIANTX,Haven,6,11,54.55
Gambit Esports,Haven,1,1,100.0
Gen.G,Haven,13,18,72.22
Gentle Mates,Haven,6,10,60.0
Global Esports,Haven,3,6,50.0
JDG Esports,Haven,5,12,41.67
KOI,Haven,1,4,25.0
KRÜ Esports,Haven,10,21,47.62
Karmine Corp,Haven,4,7,57.14
Keyd Stars,Haven,0,2,0.0
LEVIATÁN,Haven,8,12,66.67
LOUD,Haven,8,17,47.06
Liberty,Haven,0,1,0.0
MIBR,Haven,5,12,41.67
NORTHEPTION,Haven,1,1,100.0
NRG,Haven,8,15,53.33
NUTURN,Haven,0,4,0.0
Natus Vincere,Haven,5,11,45.45
Nongshim RedForce,Haven,6,8,75.0
Nova Esports,Haven,2,5,40.0
OpTic Gaming,Haven,6,9,66.67
Papara SuperMassive,Haven,0,1,0.0
Paper Rex,Haven,14,23,60.87
Rex Regum Qeon,Haven,10,18,55.56
Sentinels,Haven,15,24,62.5
Sharks Esports,Haven,1,1,100.0
T1,Haven,10,19,52.63
TALON,Haven,6,9,66.67
TYLOO,Haven,3,10,30.0
Team Heretics,Haven,14,18,77.78
Team Liquid,Haven,10,18,55.56
Team Secret,Haven,2,7,28.57
Team Vikings,Haven,1,4,25.0
Team Vitality,Haven,3,11,27.27
The Guard,Haven,1,2,50.0
Titan Esports Club,Haven,4,9,44.44
Trace Esports,Haven,3,9,33.33
ULF Esports,Haven,0,1,0.0
VARREL,Haven,0,1,0.0
Version1,Haven,2,2,100.0
Vision Strikers,Haven,4,4,100.0
Wolves Esports,Haven,6,9,66.67
X10 Esports,Haven,3,4,75.0
XERXIA Esports,Haven,1,4,25.0
XSET,Haven,0,3,0.0
Xi Lai Gaming,Haven,9,14,64.29
ZETA DIVISION,Haven,1,13,7.69
100 Thieves,Icebox,4,8,50.0
2Game Esports,Icebox,0,2,0.0
Acend,Icebox,2,4,50.0
All Gamers,Icebox,3,4,75.0
Apeks,Icebox,0,3,0.0
BBL Esports,Icebox,5,8,62.5
BOOM Esports,Icebox,1,2,50.0
Bilibili Gaming,Icebox,6,10,60.0
Cloud9,Icebox,2,5,40.0
Crazy Raccoon,Icebox,0,5,0.0
DRX,Icebox,7,16,43.75
DetonatioN FocusMe,Icebox,2,2,100.0
Dragon Ranger Gaming,Icebox,1,4,25.0
EDward Gaming,Icebox,4,8,50.0
ENVY,Icebox,3,3,100.0
Evil Geniuses,Icebox,2,2,100.0
FNATIC,Icebox,15,19,78.95
FURIA,Icebox,1,3,33.33
FUT Esports,Icebox,0,2,0.0
FunPlus Phoenix,Icebox,5,12,41.67
G2 Esports,Icebox,7,11,63.64
GIANTX,Icebox,1,2,50.0
Gambit Esports,Icebox,5,8,62.5
Gen.G,Icebox,3,7,42.86
Gentle Mates,Icebox,2,3,66.67
Global Esports,Icebox,1,2,50.0
Guild Esports,Icebox,2,2,100.0
JDG Esports,Icebox,2,4,50.0
KOI,Icebox,2,5,40.0
KRÜ Esports,Icebox,7,16,43.75
Karmine Corp,Icebox,5,6,83.33
Keyd Stars,Icebox,1,3,33.33
LEVIATÁN,Icebox,4,12,33.33
LOUD,Icebox,4,7,57.14
Liberty,Icebox,0,1,0.0
MIBR,Icebox,7,8,87.5
NRG,Icebox,4,5,80.0
Natus Vincere,Icebox,6,8,75.0
Ninjas In Pyjamas,Icebox,0,2,0.0
Nongshim RedForce,Icebox,0,3,0.0
Nova Esports,Icebox,2,3,66.67
OpTic Gaming,Icebox,2,6,33.33
Paper Rex,Icebox,8,13,61.54
Rex Regum Qeon,Icebox,7,10,70.0
Sentinels,Icebox,5,13,38.46
Sharks Esports,Icebox,0,1,0.0
T1,Icebox,1,4,25.0
TALON,Icebox,3,8,37.5
TYLOO,Icebox,4,5,80.0
Team Heretics,Icebox,7,14,50.0
Team Liquid,Icebox,2,10,20.0
Team Secret,Icebox,3,7,42.86
Team Vikings,Icebox,2,5,40.0
Team Vitality,Icebox,0,4,0.0
The Guard,Icebox,0,1,0.0
Titan Esports Club,Icebox,2,5,40.0
Trace Esports,Icebox,3,3,100.0
Version1,Icebox,1,2,50.0
Vision Strikers,Icebox,2,4,50.0
Wolves Esports,Icebox,2,6,33.33
X10 Esports,Icebox,2,5,40.0
XERXIA Esports,Icebox,2,4,50.0
XSET,Icebox,1,1,100.0
Xi Lai Gaming,Icebox,1,5,20.0
ZETA DIVISION,Icebox,4,8,50.0
100 Thieves,Lotus,3,4,75.0
2Game Esports,Lotus,1,6,16.67
All Gamers,Lotus,3,9,33.33
Apeks,Lotus,2,8,25.0
BBL Esports,Lotus,5,7,71.43
BOOM Esports,Lotus,2,6,33.33
Bilibili Gaming,Lotus,11,21,52.38
Cloud9,Lotus,6,13,46.15
DRX,Lotus,12,23,52.17
DetonatioN FocusMe,Lotus,1,9,11.11
Dragon Ranger Gaming,Lotus,7,14,50.0
EDward Gaming,Lotus,8,19,42.11
Evil Geniuses,Lotus,8,11,72.73
FNATIC,Lotus,12,22,54.55
FURIA,Lotus,2,4,50.0
FUT Esports,Lotus,4,8,50.0
FunPlus Phoenix,Lotus,0,4,0.0
G2 Esports,Lotus,17,23,73.91
GIANTX,Lotus,4,12,33.33
Gen.G,Lotus,8,14,57.14
Gentle Mates,Lotus,1,6,16.67
Giants Gaming,Lotus,1,1,100.0
Global Esports,Lotus,1,6,16.67
JDG Esports,Lotus,3,5,60.0
KOI,Lotus,2,7,28.57
KRÜ Esports,Lotus,2,9,22.22
Karmine Corp,Lotus,4,9,44.44
LEVIATÁN,Lotus,5,10,50.0
LOUD,Lotus,5,9,55.56
MIBR,Lotus,2,10,20.0
NRG,Lotus,9,15,60.0
Natus Vincere,Lotus,0,4,0.0
Nongshim RedForce,Lotus,7,12,58.33
Nova Esports,Lotus,0,5,0.0
Paper Rex,Lotus,17,26,65.38
Rex Regum Qeon,Lotus,6,12,50.0
Sentinels,Lotus,14,21,66.67
T1,Lotus,8,17,47.06
TALON,Lotus,5,10,50.0
TYLOO,Lotus,2,4,50.0
Team Heretics,Lotus,9,15,60.0
Team Liquid,Lotus,8,12,66.67
Team Secret,Lotus,3,7,42.86
Team Vitality,Lotus,7,10,70.0
Titan Esports Club,Lotus,1,5,20.0
Trace Esports,Lotus,7,13,53.85
Wolves Esports,Lotus,5,11,45.45
Xi Lai Gaming,Lotus,13,19,68.42
ZETA DIVISION,Lotus,4,7,57.14
100 Thieves,Pearl,3,9,33.33
2Game Esports,Pearl,1,3,33.33
All Gamers,Pearl,2,8,25.0
Apeks,Pearl,1,2,50.0
BBL Esports,Pearl,6,8,75.0
BOOM Esports,Pearl,1,4,25.0
Bilibili Gaming,Pearl,7,10,70.0
Cloud9,Pearl,5,10,50.0
DRX,Pearl,0,3,0.0
DetonatioN FocusMe,Pearl,3,8,37.5
Dragon Ranger Gaming,Pearl,3,8,37.5
EDward Gaming,Pearl,6,14,42.86
ENVY,Pearl,1,3,33.33
Evil Geniuses,Pearl,6,12,50.0
FNATIC,Pearl,1,4,25.0
FULL SENSE,Pearl,2,2,100.0
FURIA,Pearl,0,4,0.0
FUT Esports,Pearl,4,8,50.0
FunPlus Phoenix,Pearl,4,9,44.44
G2 Esports,Pearl,8,11,72.73
GIANTX,Pearl,1,4,25.0
Gen.G,Pearl,2,5,40.0
Gentle Mates,Pearl,6,9,66.67
Giants Gaming,Pearl,1,1,100.0
Global Esports,Pearl,2,4,50.0
JDG Esports,Pearl,3,6,50.0
KOI,Pearl,0,3,0.0
KRÜ Esports,Pearl,2,6,33.33
Karmine Corp,Pearl,3,4,75.0
LEVIATÁN,Pearl,2,5,40.0
LOUD,Pearl,2,9,22.22
MIBR,Pearl,4,5,80.0
NRG,Pearl,8,10,80.0
Natus Vincere,Pearl,2,4,50.0
Nongshim RedForce,Pearl,6,7,85.71
Nova Esports,Pearl,1,4,25.0
OpTic Gaming,Pearl,2,2,100.0
PCIFIC Esports,Pearl,0,1,0.0
Paper Rex,Pearl,13,20,65.0
Rex Regum Qeon,Pearl,4,9,44.44
Sentinels,Pearl,8,11,72.73
T1,Pearl,7,11,63.64
TALON,Pearl,0,3,0.0
TYLOO,Pearl,1,5,20.0
Team Heretics,Pearl,3,5,60.0
Team Liquid,Pearl,2,9,22.22
Team Secret,Pearl,1,4,25.0
Team Vitality,Pearl,0,1,0.0
Titan Esports Club,Pearl,0,1,0.0
Trace Esports,Pearl,2,5,40.0
ULF Esports,Pearl,0,1,0.0
VARREL,Pearl,1,1,100.0
Wolves Esports,Pearl,5,7,71.43
XSET,Pearl,3,4,75.0
Xi Lai Gaming,Pearl,5,8,62.5
ZETA DIVISION,Pearl,2,2,100.0
100 Thieves,Split,6,10,60.0
2Game Esports,Split,0,1,0.0
Acend,Split,3,3,100.0
All Gamers,Split,4,8,50.0
Apeks,Split,0,3,0.0
BBL Esports,Split,3,6,50.0
BOOM Esports,Split,0,1,0.0
Bilibili Gaming,Split,3,9,33.33
Cloud9,Split,6,7,85.71
Crazy Raccoon,Split,1,2,50.0
DRX,Split,6,13,46.15
DetonatioN FocusMe,Split,4,6,66.67
Dragon Ranger Gaming,Split,3,5,60.0
EDward Gaming,Split,7,14,50.0
ENVY,Split,1,4,25.0
Evil Geniuses,Split,2,7,28.57
F4Q,Split,1,2,50.0
FNATIC,Split,14,22,63.64
FULL SENSE,Split,2,5,40.0
FURIA,Split,3,6,50.0
FUT Esports,Split,2,9,22.22
FunPlus Phoenix,Split,1,4,25.0
G2 Esports,Split,10,20,50.0
GIANTX,Split,2,5,40.0
Gambit Esports,Split,2,5,40.0
Gen.G,Split,2,5,40.0
Gentle Mates,Split,4,6,66.67
Giants Gaming,Split,1,2,50.0
Global Esports,Split,4,9,44.44
Guild Esports,Split,1,1,100.0
JDG Esports,Split,2,3,66.67
KOI,Split,0,2,0.0
KRÜ Esports,Split,5,12,41.67
Karmine Corp,Split,0,5,0.0
Keyd Stars,Split,1,2,50.0
LEVIATÁN,Split,2,8,25.0
LOUD,Split,6,13,46.15
Liberty,Split,0,1,0.0
MIBR,Split,7,12,58.33
NORTHEPTION,Split,0,1,0.0
NRG,Split,2,7,28.57
NUTURN,Split,1,1,100.0
Natus Vincere,Split,6,9,66.67
Ninjas In Pyjamas,Split,2,2,100.0
Nongshim RedForce,Split,8,11,72.73
Nova Esports,Split,3,8,37.5
OpTic Gaming,Split,3,5,60.0
PCIFIC Esports,Split,0,2,0.0
Papara SuperMassive,Split,1,2,50.0
Paper Rex,Split,13,22,59.09
Rex Regum Qeon,Split,2,3,66.67
Sentinels,Split,10,21,47.62
T1,Split,8,13,61.54
TALON,Split,1,3,33.33
TYLOO,Split,3,6,50.0
Team Heretics,Split,1,4,25.0
Team Liquid,Split,15,23,65.22
Team Secret,Split,1,6,16.67
Team Vikings,Split,0,1,0.0
Team Vitality,Split,4,7,57.14
The Guard,Split,0,1,0.0
Titan Esports Club,Split,2,4,50.0
Trace Esports,Split,5,6,83.33
ULF Esports,Split,2,2,100.0
VARREL,Split,0,2,0.0
Version1,Split,0,2,0.0
Vision Strikers,Split,2,2,100.0
Wolves Esports,Split,3,8,37.5
X10 Esports,Split,1,1,100.0
XERXIA Esports,Split,1,2,50.0
XSET,Split,1,1,100.0
Xi Lai Gaming,Split,4,5,80.0
ZETA DIVISION,Split,7,15,46.67
100 Thieves,Sunset,1,4,25.0
2Game Esports,Sunset,3,3,100.0
All Gamers,Sunset,2,3,66.67
Apeks,Sunset,2,2,100.0
BBL Esports,Sunset,3,5,60.0
Bilibili Gaming,Sunset,4,7,57.14
DRX,Sunset,1,4,25.0
DetonatioN FocusMe,Sunset,1,2,50.0
Dragon Ranger Gaming,Sunset,4,6,66.67
EDward Gaming,Sunset,7,9,77.78
Evil Geniuses,Sunset,0,1,0.0
FNATIC,Sunset,0,8,0.0
FURIA,Sunset,0,2,0.0
FUT Esports,Sunset,1,4,25.0
FunPlus Phoenix,Sunset,2,4,50.0
G2 Esports,Sunset,3,3,100.0
GIANTX,Sunset,6,9,66.67
Gen.G,Sunset,2,5,40.0
Gentle Mates,Sunset,0,2,0.0
JDG Esports,Sunset,1,2,50.0
KOI,Sunset,0,1,0.0
KRÜ Esports,Sunset,3,3,100.0
Karmine Corp,Sunset,2,4,50.0
LEVIATÁN,Sunset,4,6,66.67
LOUD,Sunset,1,2,50.0
MIBR,Sunset,3,6,50.0
NRG,Sunset,1,5,20.0
Natus Vincere,Sunset,1,4,25.0
Nongshim RedForce,Sunset,0,1,0.0
Nova Esports,Sunset,0,1,0.0
Paper Rex,Sunset,7,9,77.78
Rex Regum Qeon,Sunset,4,7,57.14
Sentinels,Sunset,7,12,58.33
T1,Sunset,5,7,71.43
TALON,Sunset,0,3,0.0
Team Heretics,Sunset,4,6,66.67
Team Liquid,Sunset,4,9,44.44
Team Secret,Sunset,1,2,50.0
Team Vitality,Sunset,2,4,50.0
Titan Esports Club,Sunset,1,3,33.33
Trace Esports,Sunset,1,6,16.67
Wolves Esports,Sunset,1,2,50.0
Xi Lai Gaming,Sunset,2,6,33.33
ZETA DIVISION,Sunset,1,2,50.0
